Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
Source[1],384PP_AQ_BP,A1,Mat1,Nunc_384_black_glassbottom,A1,1825,Actual concentration: 36.50 nM
Source[1],384PP_AQ_BP,A1,Mat1,Nunc_384_black_glassbottom,B1,4550,Actual concentration: 91.00 nM
Source[1],384PP_AQ_BP,A1,Mat1,Nunc_384_black_glassbottom,A1,1825,Actual concentration: 36.50 nM
Source[1],384PP_AQ_BP,A1,Mat1,Nunc_384_black_glassbottom,B1,4550,Actual concentration: 91.00 nM
Source[1],384PP_AQ_BP,A1,Mat1,Nunc_384_black_glassbottom,A2,4675,Actual concentration: 93.50 nM
Source[1],384PP_AQ_BP,A1,Mat1,Nunc_384_black_glassbottom,B2,4075,Actual concentration: 81.50 nM
Source[1],384PP_AQ_BP,A2,Mat2,Nunc_384_black_glassbottom,A1,1825,Actual concentration: 91.25 nM
Source[1],384PP_AQ_BP,A2,Mat2,Nunc_384_black_glassbottom,B1,725,Actual concentration: 36.25 nM
Source[1],384PP_AQ_BP,A2,Mat2,Nunc_384_black_glassbottom,A1,1825,Actual concentration: 91.25 nM
Source[1],384PP_AQ_BP,A2,Mat2,Nunc_384_black_glassbottom,B1,725,Actual concentration: 36.25 nM
Source[1],384PP_AQ_BP,A2,Mat2,Nunc_384_black_glassbottom,A2,1625,Actual concentration: 81.25 nM
Source[1],384PP_AQ_BP,A2,Mat2,Nunc_384_black_glassbottom,B2,1875,Actual concentration: 93.75 nM
Source[1],384PP_AQ_BP,A15,water,Nunc_384_black_glassbottom,A1,6350,
Source[1],384PP_AQ_BP,A15,water,Nunc_384_black_glassbottom,B1,4725,
Source[1],384PP_AQ_BP,A15,water,Nunc_384_black_glassbottom,A1,6350,
Source[1],384PP_AQ_BP,A15,water,Nunc_384_black_glassbottom,B1,4725,
Source[1],384PP_AQ_BP,A15,water,Nunc_384_black_glassbottom,A2,3700,
Source[1],384PP_AQ_BP,A15,water,Nunc_384_black_glassbottom,B2,4050,
